timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,altitude_m,alt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,fix_quality,fix_meaning,direction
1770573716.8659031,57.83443500,12.30728067,57.83443633,12.30728192,3.219,3.751,64.40,7.80,2.080,0.92,6,6,1,GPS Fix (SPS),Stopped
1770573717.868572,57.83443050,12.30727767,57.83443342,12.30727979,3.219,3.149,64.70,7.80,2.080,1.01,6,6,1,GPS Fix (SPS),Stopped
1770573718.865882,57.83442900,12.30727300,57.83443121,12.30727640,3.219,2.648,64.80,7.80,2.080,1.06,6,6,1,GPS Fix (SPS),Reverse
1770573719.8757815,57.83442700,12.30726650,57.83442910,12.30727145,3.219,2.500,64.80,7.80,2.080,1.36,6,6,1,GPS Fix (SPS),Reverse
1770573720.867379,57.83442683,12.30726250,57.83442797,12.30726697,3.219,2.500,64.50,7.80,2.080,1.29,6,6,1,GPS Fix (SPS),Reverse
1770573721.868983,57.83441750,12.30725767,57.83442273,12.30726232,3.219,2.500,64.50,7.80,2.080,1.68,6,6,1,GPS Fix (SPS),Reverse
1770573722.8769574,57.83442183,12.30726200,57.83442228,12.30726216,3.219,2.500,64.70,7.80,2.080,1.02,6,6,1,GPS Fix (SPS),Stopped
1770573723.8675973,57.83441900,12.30727233,57.83442064,12.30726725,3.219,2.500,64.50,7.80,2.080,1.06,6,6,1,GPS Fix (SPS),Forward
1770573724.872501,57.83441700,12.30727450,57.83441882,12.30727087,3.219,2.500,64.80,7.80,2.080,0.87,6,6,1,GPS Fix (SPS),Forward
1770573725.8673956,57.83442700,12.30727783,57.83442291,12.30727435,3.219,2.500,65.00,7.80,2.080,0.08,6,6,1,GPS Fix (SPS),Forward
1770573726.8658059,57.83442650,12.30727933,57.83442471,12.30727684,3.210,2.500,65.00,7.76,2.070,0.17,6,6,1,GPS Fix (SPS),Stopped
1770573727.866355,57.83441000,12.30726517,57.83441735,12.30727101,3.210,2.500,64.90,7.76,2.070,2.16,6,6,1,GPS Fix (SPS),Reverse
1770573728.8604894,57.83440550,12.30726767,57.83441143,12.30726934,3.210,2.500,64.80,7.76,2.070,1.81,6,6,1,GPS Fix (SPS),Stopped
1770573729.8699923,57.83440833,12.30726850,57.83440988,12.30726892,3.210,2.500,65.00,7.76,2.070,1.26,6,6,1,GPS Fix (SPS),Stopped
1770573730.8649497,57.83442517,12.30728517,57.83441752,12.30727704,3.210,2.500,64.90,7.76,2.070,0.59,6,6,1,GPS Fix (SPS),Forward
1770573731.8760746,57.83442533,12.30730967,57.83442143,12.30729335,3.210,2.500,65.30,7.76,2.070,2.42,6,6,1,GPS Fix (SPS),Forward
1770573732.8712778,57.83442217,12.30731133,57.83442180,12.30730234,3.210,2.500,64.90,7.76,2.070,1.54,6,6,1,GPS Fix (SPS),Forward
