timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh
1770560786.987424,57.83441467,12.30724833,57.83441325,12.30724942,2.200,3.751,1.010,0.66
1770560787.9861455,57.83441900,12.30724867,57.83441612,12.30724904,2.200,3.149,1.010,0.87
1770560788.98878,57.83441150,12.30724567,57.83441381,12.30724735,2.200,2.648,1.010,0.65
1770560789.9793317,57.83441083,12.30723983,57.83441232,12.30724359,2.200,2.500,1.010,1.09
1770560790.9855177,57.83441417,12.30724667,57.83441324,12.30724513,2.200,2.500,1.010,0.22
1770560791.9845326,57.83441267,12.30726217,57.83441296,12.30725365,2.200,2.500,1.010,1.08
1770560792.9711232,57.83441900,12.30726467,57.83441598,12.30725916,2.571,2.500,1.400,0.93
1770560793.9707403,57.83442033,12.30726217,57.83441816,12.30726066,2.571,2.500,1.400,0.82
1770560794.9832232,57.83441783,12.30726033,57.83441799,12.30726050,2.571,2.500,1.400,0.55
1770560795.9876938,57.83441617,12.30726267,57.83441708,12.30726158,2.571,2.500,1.400,0.61
1770560796.9815936,57.83441717,12.30725483,57.83441712,12.30725821,2.571,2.500,1.400,1.31
1770560797.986377,57.83440833,12.30727000,57.83441273,12.30726410,2.571,2.500,1.400,1.10
1770560798.9800646,57.83440517,12.30725817,57.83440895,12.30726114,2.571,2.500,1.400,1.56
1770560799.9828708,57.83440467,12.30725033,57.83440681,12.30725573,2.571,2.500,1.400,1.84
1770560800.9801824,57.83440450,12.30725367,57.83440565,12.30725470,2.571,2.500,1.400,1.40
1770560801.9867978,57.83440183,12.30725267,57.83440374,12.30725368,2.867,2.500,1.710,1.26
1770560802.9815593,57.83440567,12.30724300,57.83440471,12.30724834,2.867,2.500,1.710,1.53
1770560803.985635,57.83441150,12.30724733,57.83440810,12.30724784,2.867,2.500,1.710,1.35
1770560804.9861853,57.83441217,12.30726567,57.83441013,12.30725675,2.200,2.500,1.010,0.90
1770560805.9818208,57.83441850,12.30727550,57.83441432,12.30726613,2.200,2.500,1.010,0.75
1770560806.9866433,57.83441817,12.30729300,57.83441624,12.30727956,2.200,2.500,1.010,1.26
1770560807.9710271,57.83443100,12.30730550,57.83442362,12.30729253,2.200,2.500,1.010,1.28
1770560808.989555,57.83443150,12.30731517,57.83442756,12.30730385,2.314,2.500,1.130,1.04
