gps_epoch_s,pc_epoch_s,time_offset_ms,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770714748.0,1770718348.08,3600079.8,57.834484,12.307270999999998,57.834481833333335,12.307273749999998,2.7750000000000004,3.75099986670221,3.75099986670221,0.6243609581785781,7,7,Reverse,89.7,4.1625000000000005,1
1770714749.0,1770718349.084,3600084.4,57.834481000000004,12.3072755,57.83448141666667,12.307274625,4.5,3.149444395445012,3.149444395445012,0.5717099245671077,6,6,Reverse,89.8,6.75,1
1770714750.0,1770718350.079,3600078.9,57.83447533333333,12.307284000000001,57.834478374999996,12.3072793125,4.5,2.648263582047678,2.648263582047678,0.7456200058675813,6,6,Reverse,90.0,6.75,1
1770714751.0,1770718351.084,3600084.5,57.83448799999999,12.307283500000002,57.8344831875,12.30728140625,4.5,2.5,2.5,0.7902644119479602,6,6,Reverse,90.2,6.75,1
1770714752.0,1770718352.079,3600079.0,57.83448266666666,12.307283166666666,57.83448292708333,12.307282286458333,4.5,2.5,2.5,0.6561957326692507,6,6,Reverse,90.3,6.75,1
1770714753.0,1770718353.085,3600085.4,57.83448383333333,12.307284000000001,57.834483380208326,12.307283143229167,4.5,2.5,2.5,0.5585554073726251,6,6,Reverse,90.6,6.75,1
1770714754.0,1770718354.081,3600081.3,57.834483500000005,12.307294500000001,57.834483440104165,12.307288821614584,4.5,2.5,2.5,0.722688115982037,6,6,Reverse,90.8,6.75,1
1770714755.0,1770718355.083,3600082.9,57.83449333333333,12.307291999999999,57.834488386718746,12.307290410807292,4.5,2.5,2.5,0.8625912800315286,6,6,Reverse,90.8,6.75,1
1770714756.0,1770718356.079,3600079.3,57.8345005,12.307287666666666,57.834494443359375,12.307289038736979,4.5,2.5,2.5,0.8888277910971147,6,6,Reverse,90.9,6.75,1
1770714757.0,1770718357.083,3600082.8,57.834513833333325,12.307275666666666,57.83450413834635,12.307282352701822,4.5,2.5,2.5,1.0622245574735927,6,6,Reverse,91.2,6.75,1
1770714758.0,1770718358.08,3600080.0,57.83451866666666,12.3072735,57.83451140250651,12.307277926350912,4.5,2.5,2.5,1.195441361075358,6,6,Reverse,91.3,6.75,1
1770714759.0,1770718359.083,3600082.8,57.83453299999999,12.307272833333332,57.83452220125325,12.307275379842121,4.5,2.5,2.5,1.5369338474929823,6,6,Reverse,91.4,6.75,1
1770714760.0,1770718360.082,3600082.0,57.834540333333344,12.307266166666667,57.83453126729329,12.307270773254395,4.5,2.5,2.5,1.750230189303196,6,6,Reverse,91.5,6.75,1
1770714761.0,1770718361.082,3600081.7,57.83455533333334,12.307254833333332,57.83454330031332,12.307262803293863,4.5,2.5,2.5,2.0713994202981434,6,6,Reverse,91.5,6.75,1
1770714762.0,1770718362.079,3600079.1,57.83455983333333,12.307249666666667,57.83455156682332,12.307256234980265,4.5,2.5,2.5,2.259704610956462,6,6,Reverse,91.6,6.75,1
1770714763.0,1770718363.081,3600080.9,57.83456283333333,12.307248333333332,57.83455720007833,12.307252284156798,4.5,2.5,2.5,2.321631431670485,6,6,Reverse,91.6,6.75,1
1770714764.0,1770718364.079,3600078.9,57.834558833333325,12.307251,57.83455801670583,12.3072516420784,4.5,2.5,2.5,2.1706400539129627,6,6,Reverse,91.7,6.75,1
1770714765.0,1770718365.086,3600086.4,57.834568833333336,12.307244166666665,57.83456342501958,12.307247904372533,4.5,2.5,2.5,2.1859136377675212,6,6,Reverse,91.9,6.75,1
1770714766.0,1770718366.079,3600079.0,57.834566333333335,12.3072435,57.834564879176455,12.307245702186266,4.5,2.5,2.5,2.004445978270861,6,6,Reverse,91.9,6.75,1
1770714767.0,1770718367.087,3600086.9,57.83454383333333,12.307259166666665,57.83455435625489,12.307252434426465,4.5,2.5,2.5,1.5541404594579462,6,6,Reverse,92.2,6.75,1
1770714768.0,1770718368.081,3600081.1,57.834526999999994,12.3072675,57.834540678127446,12.307259967213232,2.7750000000000004,2.5,2.5,1.4482004022890753,7,7,Reverse,91.6,4.1625000000000005,1
1770714769.0,1770718369.08,3600079.5,57.834506499999996,12.307276833333333,57.83452358906372,12.307268400273284,2.875,2.5,2.5,1.676352122521613,6,6,Reverse,91.8,4.3125,1
1770714770.0,1770718370.087,3600086.6,57.834492166666664,12.307274833333334,57.83450787786519,12.307271616803309,3.0,2.5,2.5,1.921255902829097,6,6,Reverse,91.2,4.5,1
1770714771.0,1770718371.079,3600078.8,57.83447983333334,12.307275166666667,57.83449385559926,12.307273391734988,3.0,2.5,2.5,1.972058054302125,6,6,Reverse,91.6,4.5,1
1770714772.0,1770718372.079,3600078.8,57.834467333333336,12.307281666666665,57.8344805944663,12.307277529200826,3.0,2.5,2.5,1.98550727051183,6,6,Reverse,91.3,4.5,1
1770714773.0,1770718373.079,3600079.1,57.834463166666666,12.307281833333331,57.83447188056648,12.307279681267078,3.175,2.5,2.5,1.8970719759269483,5,5,Reverse,90.9,4.762499999999999,1
1770714774.0,1770718374.089,3600089.1,57.83443666666667,12.307279833333332,57.83445427361658,12.307279757300206,2.9749999999999996,2.5,2.5,2.2651401556758852,6,6,Reverse,90.6,4.4624999999999995,1
1770714775.0,1770718375.08,3600079.5,57.834432666666665,12.307282333333335,57.83444347014162,12.30728104531677,2.7750000000000004,2.5,2.5,2.2673839428878675,7,7,Reverse,91.0,4.1625000000000005,1
1770714776.0,1770718376.082,3600082.4,57.834426833333325,12.307283833333335,57.83443515173747,12.307282439325052,2.9749999999999996,2.5,2.5,2.1897001552841115,6,6,Reverse,90.6,4.4624999999999995,1
1770714777.0,1770718377.079,3600079.1,57.83442316666666,12.30729,57.83442915920207,12.307286219662526,2.9749999999999996,2.5,2.5,2.0353651985843317,6,6,Reverse,90.6,4.4624999999999995,1
