timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,altitude_m,alt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,fix_quality,fix_meaning,direction
1770569027.9159439,57.83448333,12.30726317,57.83448033,12.30726375,2.448,3.751,69.40,4.76,1.270,1.84,7,7,1,GPS Fix (SPS),Stopped
1770569028.9069903,57.83448117,12.30726483,57.83448075,12.30726429,2.448,3.149,69.50,4.76,1.270,1.31,7,7,1,GPS Fix (SPS),Stopped
1770569029.91595,57.83448067,12.30726350,57.83448071,12.30726390,2.448,2.648,69.70,4.76,1.270,1.06,7,7,1,GPS Fix (SPS),Stopped
1770569030.9087818,57.83447750,12.30726533,57.83447910,12.30726461,2.448,2.500,69.60,4.76,1.270,0.39,7,7,1,GPS Fix (SPS),Stopped
1770569031.9205172,57.83447817,12.30726233,57.83447864,12.30726347,2.448,2.500,70.00,4.76,1.270,0.72,7,7,1,GPS Fix (SPS),Stopped
1770569032.9158516,57.83447667,12.30726300,57.83447765,12.30726324,2.448,2.500,70.10,4.76,1.270,0.59,7,7,1,GPS Fix (SPS),Stopped
1770569033.920491,57.83447200,12.30726700,57.83447483,12.30726512,2.448,2.500,70.40,4.76,1.270,0.64,7,7,1,GPS Fix (SPS),Stopped
1770569034.9158025,57.83447183,12.30726267,57.83447333,12.30726389,2.448,2.500,70.90,4.76,1.270,0.58,7,7,1,GPS Fix (SPS),Stopped
1770569035.9241495,57.83447850,12.30726433,57.83447591,12.30726411,2.448,2.500,71.00,4.76,1.270,0.32,7,7,1,GPS Fix (SPS),Stopped
1770569036.908643,57.83448167,12.30726200,57.83447879,12.30726306,2.448,2.500,71.00,4.76,1.270,0.24,7,7,1,GPS Fix (SPS),Stopped
1770569037.9122121,57.83449417,12.30725333,57.83448648,12.30725819,2.448,2.500,70.90,4.76,1.270,0.53,6,6,1,GPS Fix (SPS),Reverse
1770569038.918706,57.83451067,12.30724633,57.83449857,12.30725226,2.314,2.500,70.40,4.24,1.130,1.01,8,8,1,GPS Fix (SPS),Reverse
1770569039.9029837,57.83452133,12.30723950,57.83450995,12.30724588,2.314,2.500,70.20,4.24,1.130,1.03,8,8,1,GPS Fix (SPS),Reverse
1770569040.9342222,57.83453900,12.30723117,57.83452448,12.30723852,2.314,2.500,70.10,4.24,1.130,1.76,8,8,1,GPS Fix (SPS),Reverse
