gps_epoch_s,pc_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770712767.0,1770716367.093,57.8344975,12.307233499999999,57.83449966666666,12.307223333333333,3.75,3.75099986670221,3.75099986670221,2.0539610560087858,5,5,Reverse,65.6,5.625,1
1770712768.0,1770716368.098,57.834493,12.307245333333332,57.834496333333334,12.307234333333334,3.75,3.149444395445012,3.149444395445012,2.0785177577193514,5,5,Reverse,65.7,5.625,1
1770712769.0,1770716369.09,57.834487499999994,12.307255999999999,57.834491916666664,12.307245166666666,3.75,2.648263582047678,2.648263582047678,1.938196531413929,5,5,Reverse,65.8,5.625,1
1770712770.0,1770716370.093,57.834483666666664,12.307265,57.83448779166666,12.307255083333333,3.75,2.5,2.5,1.7557810183830966,5,5,Reverse,65.8,5.625,1
1770712771.0,1770716371.099,57.83447833333333,12.307272333333334,57.8344830625,12.307263708333332,3.75,2.5,2.5,1.6914367119247664,5,5,Reverse,65.9,5.625,1
1770712772.0,1770716372.082,57.83447966666666,12.307285666666667,57.834481364583326,12.3072746875,3.75,2.5,2.5,1.6538911025141556,5,5,Reverse,65.8,5.625,1
1770712773.0,1770716373.096,57.834479166666675,12.307295500000002,57.834480265625004,12.307285093750002,3.75,2.5,2.5,1.5971717851699516,5,5,Reverse,65.7,5.625,1
1770712774.0,1770716374.094,57.834474833333324,12.307299333333333,57.83447754947916,12.307292213541666,3.75,2.5,2.5,1.4112484347918777,5,5,Reverse,65.5,5.625,1
1770712775.0,1770716375.096,57.834470833333334,12.307303666666666,57.83447419140625,12.307297940104167,3.75,2.5,2.5,1.3053245297884035,5,5,Reverse,65.2,5.625,1
1770712776.0,1770716376.096,57.83447016666667,12.307322,57.83447217903646,12.307309970052083,3.675,2.5,2.5,1.4786211110816718,6,6,Reverse,64.8,5.512499999999999,1
1770712777.0,1770716377.111,57.834468,12.3073325,57.83447008951823,12.307321235026041,3.675,2.5,2.5,1.629573186736838,6,6,Reverse,64.4,5.512499999999999,1
1770712778.0,1770716378.101,57.8344715,12.307331333333332,57.83447079475911,12.307326284179686,3.675,2.5,2.5,1.5521059401710913,6,6,Reverse,64.1,5.512499999999999,1
1770712779.0,1770716379.096,57.834464833333335,12.307326833333331,57.83446781404623,12.30732655875651,3.675,2.5,2.5,1.3571769123665218,6,6,Reverse,63.8,5.512499999999999,1
1770712780.0,1770716380.102,57.83446083333333,12.307342666666667,57.83446432368978,12.307334612711587,3.675,2.5,2.5,1.456942769504866,6,6,Reverse,63.8,5.512499999999999,1
1770712781.0,1770716381.096,57.83445616666666,12.307359,57.83446024517822,12.307346806355794,3.675,2.5,2.5,1.562814830913546,6,6,Reverse,63.8,5.512499999999999,1
1770712782.0,1770716382.1,57.83444516666667,12.307356666666665,57.834452705922445,12.30735173651123,3.05,2.5,2.5,1.4349866705340006,6,6,Reverse,64.4,4.574999999999999,1
1770712783.0,1770716383.104,57.83444566666667,12.307352666666668,57.834449186294556,12.30735220158895,3.05,2.5,2.5,1.249822880968118,6,6,Reverse,64.9,4.574999999999999,1
1770712784.0,1770716384.107,57.83444133333334,12.307345833333333,57.83444525981395,12.30734901746114,2.9749999999999996,2.5,2.5,1.0237185613707174,7,7,Reverse,65.3,4.4624999999999995,1
1770712785.0,1770716385.099,57.834437166666675,12.307339666666667,57.83444121324031,12.307344342063905,2.9749999999999996,2.5,2.5,0.8509358926208621,7,7,Reverse,65.9,4.4624999999999995,1
1770712786.0,1770716386.096,57.834434166666675,12.307340666666668,57.83443768995349,12.307342504365286,2.9749999999999996,2.5,2.5,0.7372039441282207,7,7,Reverse,66.8,4.4624999999999995,1
1770712787.0,1770716387.098,57.834433833333335,12.307337833333333,57.83443576164341,12.30734016884931,2.9749999999999996,2.5,2.5,0.5992173303703754,7,7,Reverse,67.6,4.4624999999999995,1
1770712788.0,1770716388.106,57.83443166666666,12.307334666666668,57.83443371415504,12.307337417757989,2.9749999999999996,2.5,2.5,0.4893661020190653,7,7,Reverse,67.9,4.4624999999999995,1
1770712789.0,1770716389.098,57.83442883333334,12.307323833333331,57.83443127374419,12.30733062554566,2.9749999999999996,2.5,2.5,0.4341457545365176,7,7,Reverse,68.1,4.4624999999999995,1
1770712790.0,1770716390.101,57.83442766666667,12.307313666666667,57.83442947020543,12.307322146106165,2.9749999999999996,2.5,2.5,0.49476731869809687,7,7,Reverse,68.6,4.4624999999999995,1
1770712791.0,1770716391.1,57.83442266666666,12.307315833333332,57.834426068436045,12.307318989719748,2.9749999999999996,2.5,2.5,0.5055882891909534,7,7,Reverse,69.3,4.4624999999999995,1
1770712792.0,1770716392.096,57.83442,12.307310666666668,57.83442303421803,12.307314828193208,2.9749999999999996,2.5,2.5,0.5844452943944055,7,7,Reverse,69.5,4.4624999999999995,1
1770712793.0,1770716393.098,57.83441466666667,12.307309666666667,57.83441885044235,12.307312247429937,2.9749999999999996,2.5,2.5,0.8102189637573733,7,7,Reverse,69.9,4.4624999999999995,1
1770712794.0,1770716394.104,57.83441549999999,12.307322333333332,57.83441717522117,12.307317290381635,2.9749999999999996,2.5,2.5,1.0488202583772255,7,7,Reverse,70.2,4.4624999999999995,1
1770712795.0,1770716395.096,57.83441583333333,12.307318500000001,57.83441650427725,12.307317895190817,2.9749999999999996,2.5,2.5,1.014275270045574,7,7,Reverse,70.2,4.4624999999999995,1
