timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,altitude_m,alt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,fix_quality,fix_meaning,direction
1770573501.8748627,57.83445267,12.30725717,57.83445375,12.30725683,2.400,3.751,84.90,4.58,1.220,0.63,7,7,1,GPS Fix (SPS),Stopped
1770573502.8719256,57.83444933,12.30726083,57.83445154,12.30725883,2.400,3.149,84.60,4.58,1.220,0.55,7,7,1,GPS Fix (SPS),Stopped
1770573503.8742483,57.83445117,12.30727067,57.83445135,12.30726475,2.400,2.648,84.30,4.58,1.220,1.24,7,7,1,GPS Fix (SPS),Forward
1770573504.883106,57.83445683,12.30727900,57.83445409,12.30727187,2.400,2.500,84.00,4.58,1.220,1.64,7,7,1,GPS Fix (SPS),Forward
1770573505.879321,57.83445433,12.30727033,57.83445421,12.30727110,2.400,2.500,83.80,4.58,1.220,0.12,7,7,1,GPS Fix (SPS),Stopped
1770573506.872573,57.83445850,12.30726933,57.83445636,12.30727022,2.400,2.500,83.30,4.58,1.220,0.62,7,7,1,GPS Fix (SPS),Stopped
1770573507.8776622,57.83446033,12.30726700,57.83445835,12.30726861,2.400,2.500,82.80,4.58,1.220,0.63,7,7,1,GPS Fix (SPS),Stopped
1770573508.8742113,57.83446233,12.30726083,57.83446034,12.30726472,2.400,2.500,82.30,4.58,1.220,1.16,7,7,1,GPS Fix (SPS),Reverse
1770573509.8790953,57.83446667,12.30726550,57.83446350,12.30726511,2.400,2.500,82.00,4.58,1.220,0.49,7,7,1,GPS Fix (SPS),Stopped
1770573510.8783748,57.83446117,12.30728250,57.83446233,12.30727381,2.400,2.500,81.90,4.58,1.220,1.28,7,7,1,GPS Fix (SPS),Forward
1770573511.8823347,57.83446033,12.30728350,57.83446133,12.30727865,2.400,2.500,81.70,4.58,1.220,0.73,7,7,1,GPS Fix (SPS),Forward
1770573512.875903,57.83446333,12.30728417,57.83446233,12.30728141,2.400,2.500,81.60,4.58,1.220,0.38,7,7,1,GPS Fix (SPS),Stopped
1770573513.8827665,57.83445867,12.30728933,57.83446050,12.30728537,2.400,2.500,81.60,4.58,1.220,0.44,7,7,1,GPS Fix (SPS),Forward
1770573514.879679,57.83446050,12.30729067,57.83446050,12.30728802,2.400,2.500,81.30,4.58,1.220,0.14,7,7,1,GPS Fix (SPS),Stopped
1770573515.8836992,57.83446767,12.30728550,57.83446408,12.30728676,2.400,2.500,81.20,4.58,1.220,0.80,7,7,1,GPS Fix (SPS),Stopped
1770573516.8746285,57.83447633,12.30728667,57.83447021,12.30728671,2.400,2.500,81.20,4.58,1.220,1.49,7,7,1,GPS Fix (SPS),Stopped
1770573517.8659222,57.83448000,12.30729217,57.83447510,12.30728944,2.400,2.500,81.10,4.58,1.220,1.28,7,7,1,GPS Fix (SPS),Stopped
1770573518.8795877,57.83448483,12.30729267,57.83447997,12.30729105,2.400,2.500,80.90,4.58,1.220,1.37,7,7,1,GPS Fix (SPS),Stopped
1770573519.875199,57.83448550,12.30729567,57.83448273,12.30729336,2.400,2.500,80.80,4.58,1.220,1.19,7,7,1,GPS Fix (SPS),Stopped
1770573520.8742979,57.83448400,12.30729717,57.83448337,12.30729526,2.400,2.500,80.50,4.58,1.220,0.63,7,7,1,GPS Fix (SPS),Stopped
1770573521.8755684,57.83447567,12.30729333,57.83447952,12.30729430,2.400,2.500,80.20,4.58,1.220,0.52,7,7,1,GPS Fix (SPS),Stopped
1770573522.873268,57.83446850,12.30730367,57.83447401,12.30729898,2.400,2.500,80.40,4.58,1.220,1.08,7,7,1,GPS Fix (SPS),Forward
1770573523.8806603,57.83447033,12.30730483,57.83447217,12.30730191,2.400,2.500,80.10,4.58,1.220,0.51,7,7,1,GPS Fix (SPS),Stopped
1770573524.8680973,57.83447150,12.30731083,57.83447184,12.30730637,2.400,2.500,79.60,4.58,1.220,0.38,7,7,1,GPS Fix (SPS),Forward
1770573525.879548,57.83446700,12.30731300,57.83446942,12.30730969,2.390,2.500,79.20,4.54,1.210,0.27,7,7,1,GPS Fix (SPS),Stopped
1770573526.8661368,57.83446983,12.30731217,57.83446963,12.30731093,2.390,2.500,78.90,4.54,1.210,0.31,7,7,1,GPS Fix (SPS),Stopped
1770573527.8746457,57.83446133,12.30730750,57.83446548,12.30730921,2.390,2.500,78.90,4.54,1.210,1.04,7,7,1,GPS Fix (SPS),Stopped
1770573528.8753357,57.83446250,12.30731117,57.83446399,12.30731019,2.390,2.500,78.90,4.54,1.210,0.59,7,7,1,GPS Fix (SPS),Stopped
1770573529.8827295,57.83447117,12.30731400,57.83446758,12.30731209,2.390,2.500,78.80,4.54,1.210,0.72,7,7,1,GPS Fix (SPS),Stopped
1770573530.8750744,57.83447017,12.30732000,57.83446887,12.30731605,2.390,2.500,78.40,4.54,1.210,0.85,7,7,1,GPS Fix (SPS),Forward
1770573531.868796,57.83447467,12.30731833,57.83447177,12.30731719,2.390,2.500,78.30,4.54,1.210,0.86,7,7,1,GPS Fix (SPS),Stopped
1770573532.8703516,57.83446550,12.30731433,57.83446863,12.30731576,2.390,2.500,78.10,4.54,1.210,0.56,7,7,1,GPS Fix (SPS),Stopped
1770573533.8732176,57.83447250,12.30731533,57.83447057,12.30731555,2.390,2.500,78.00,4.54,1.210,0.35,7,7,1,GPS Fix (SPS),Stopped
1770573534.880712,57.83447533,12.30731167,57.83447295,12.30731361,2.390,2.500,77.70,4.54,1.210,0.56,7,7,1,GPS Fix (SPS),Stopped
1770573535.873547,57.83447433,12.30730800,57.83447364,12.30731080,2.390,2.500,77.70,4.54,1.210,0.58,7,7,1,GPS Fix (SPS),Stopped
1770573536.866206,57.83447850,12.30730783,57.83447607,12.30730932,2.390,2.500,77.40,4.54,1.210,0.81,7,7,1,GPS Fix (SPS),Stopped
1770573537.8789127,57.83448667,12.30730933,57.83448137,12.30730933,2.390,2.500,77.30,4.54,1.210,1.51,7,7,1,GPS Fix (SPS),Stopped
1770573538.8828142,57.83448900,12.30730783,57.83448518,12.30730858,2.448,2.500,77.10,4.76,1.270,1.33,6,6,1,GPS Fix (SPS),Stopped
1770573539.8779807,57.83448800,12.30731367,57.83448659,12.30731112,2.390,2.500,77.20,4.54,1.210,1.00,7,7,1,GPS Fix (SPS),Stopped
1770573540.8819861,57.83448883,12.30731450,57.83448771,12.30731281,2.390,2.500,77.00,4.54,1.210,0.80,7,7,1,GPS Fix (SPS),Stopped
1770573541.8764048,57.83448433,12.30730867,57.83448602,12.30731074,2.390,2.500,77.00,4.54,1.210,0.33,7,7,1,GPS Fix (SPS),Stopped
1770573542.865739,57.83448617,12.30730300,57.83448609,12.30730687,2.390,2.500,76.90,4.54,1.210,0.74,7,7,1,GPS Fix (SPS),Reverse
1770573543.8664186,57.83448433,12.30730467,57.83448521,12.30730577,2.390,2.500,76.80,4.54,1.210,0.27,7,7,1,GPS Fix (SPS),Stopped
1770573544.8741875,57.83448300,12.30730650,57.83448411,12.30730613,2.390,2.500,76.80,4.54,1.210,0.16,7,7,1,GPS Fix (SPS),Stopped
