time_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1.35,57.83443583333333,12.307289500000001,57.834435000000006,12.307288833333335,2.9499999999999997,3.75099986670221,3.75099986670221,0.25780541388638417,7,7,Reverse,70.4,4.425,1
2.35,57.834435166666665,12.307293,57.83443508333333,12.307290916666666,2.9499999999999997,3.149444395445012,3.149444395445012,0.18656393582300407,7,7,Reverse,70.8,4.425,1
3.34,57.8344315,12.307301166666665,57.83443329166667,12.307296041666666,2.9499999999999997,2.648263582047678,2.648263582047678,0.5048808945649955,7,7,Reverse,70.8,4.425,1
4.35,57.83443233333334,12.307298333333332,57.834432812500005,12.3072971875,2.9499999999999997,2.5,2.5,0.6403023701965807,7,7,Reverse,71.0,4.425,1
5.35,57.834429833333324,12.307303000000001,57.834431322916664,12.30730009375,2.9499999999999997,2.5,2.5,0.6325193715686319,7,7,Reverse,70.9,4.425,1
6.35,57.834428333333335,12.307306333333335,57.834429828124996,12.307303213541667,2.9499999999999997,2.5,2.5,0.5717154237289854,7,7,Reverse,71.0,4.425,1
7.34,57.83442783333333,12.307307666666668,57.834428830729166,12.307305440104168,2.9499999999999997,2.5,2.5,0.5503116743177721,7,7,Reverse,71.1,4.425,1
8.35,57.834427999999996,12.307308166666667,57.83442841536458,12.307306803385417,2.9499999999999997,2.5,2.5,0.550501854099895,7,7,Reverse,71.2,4.425,1
9.35,57.83442749999999,12.307309166666668,57.83442795768229,12.307307985026043,2.9499999999999997,2.5,2.5,0.6054140416881294,7,7,Reverse,71.5,4.425,1
10.35,57.834426833333325,12.307309666666667,57.8344273955078,12.307308825846356,4.55,2.5,2.5,0.5253651858283037,6,6,Reverse,71.5,6.824999999999999,1
11.35,57.834426,12.307310500000002,57.834426697753905,12.307309662923178,4.55,2.5,2.5,0.43122841054453703,6,6,Reverse,71.4,6.824999999999999,1
12.35,57.834426666666666,12.30731,57.834426682210285,12.30730983146159,4.55,2.5,2.5,0.4091902422433246,6,6,Reverse,71.3,6.824999999999999,1
13.35,57.834425333333336,12.307310833333334,57.83442600777181,12.307310332397462,4.55,2.5,2.5,0.3982375923083315,6,6,Reverse,71.3,6.824999999999999,1
14.35,57.834425499999995,12.307307166666666,57.8344257538859,12.307308749532064,4.55,2.5,2.5,0.34691104563283043,6,6,Reverse,71.5,6.824999999999999,1
15.35,57.83442216666667,12.307315166666667,57.83442396027628,12.307311958099366,4.55,2.5,2.5,0.3906456625074575,6,6,Reverse,71.2,6.824999999999999,1
16.35,57.834418166666666,12.307318500000001,57.834421063471474,12.307315229049683,4.55,2.5,2.5,0.5526412331861114,6,6,Reverse,71.4,6.824999999999999,1
17.35,57.83441583333333,12.307322833333334,57.8344184484024,12.307319031191508,4.55,2.5,2.5,0.6377875743459476,6,6,Reverse,71.5,6.824999999999999,1
18.35,57.83441416666666,12.307327666666668,57.83441630753453,12.307323348929089,2.9499999999999997,2.5,2.5,0.6828066963352141,7,7,Reverse,71.5,4.425,1
19.35,57.8344135,12.307327166666669,57.83441490376727,12.307325257797878,2.9499999999999997,2.5,2.5,0.6884596031390035,7,7,Reverse,71.7,4.425,1
20.36,57.83441933333334,12.307324333333334,57.8344171185503,12.307324795565606,2.9499999999999997,2.5,2.5,0.6996691624206977,7,7,Reverse,71.7,4.425,1
21.35,57.83441583333333,12.307328,57.834416475941815,12.307326397782804,2.9499999999999997,2.5,2.5,0.5553226502917943,7,7,Reverse,71.9,4.425,1
22.35,57.83441566666667,12.307330666666667,57.83441607130425,12.307328532224735,2.9499999999999997,2.5,2.5,0.4379351252492867,7,7,Reverse,72.1,4.425,1
23.36,57.83441316666667,12.307333000000002,57.834414618985456,12.307330766112369,2.9499999999999997,2.5,2.5,0.43775277934984097,7,7,Reverse,72.2,4.425,1
24.35,57.834414,12.307333666666667,57.83441430949273,12.307332216389517,2.9499999999999997,2.5,2.5,0.42007950827392854,7,7,Reverse,72.3,4.425,1
25.35,57.83441500000001,12.307329833333332,57.83441465474637,12.307331024861424,2.9499999999999997,2.5,2.5,0.38387701786388484,7,7,Reverse,72.6,4.425,1
26.35,57.83441533333333,12.307326333333332,57.834414994039854,12.30732867909738,2.9499999999999997,2.5,2.5,0.4032876800715748,7,7,Reverse,72.6,4.425,1
27.35,57.834415166666666,12.307324999999999,57.83441508035326,12.307326839548688,2.9499999999999997,2.5,2.5,0.4579387037252384,7,7,Reverse,72.3,4.425,1
28.35,57.834420833333326,12.307323333333333,57.83441795684329,12.307325086441011,2.9499999999999997,2.5,2.5,0.370294615857499,7,7,Reverse,72.0,4.425,1
