gps_epoch_s,pc_epoch_s,time_offset_ms,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770714110.0,1770717710.08,3600079.8,57.8343985,12.307205166666666,57.83439425,12.307200666666665,2.8249999999999997,3.75099986670221,3.75099986670221,1.3075763763406894,7,7,Reverse,72.9,4.2375,1
1770714111.0,1770717711.572,3600572.1,57.83440283333333,12.307219833333333,57.834398541666665,12.307210249999999,2.8249999999999997,3.149444395445012,3.149444395445012,1.428685216688694,7,7,Reverse,73.1,4.2375,1
1770714112.0,1770717712.091,3600091.5,57.83440733333334,12.3072285,57.8344029375,12.307219375,2.8249999999999997,2.648263582047678,2.648263582047678,1.3003451317013595,7,7,Reverse,73.4,4.2375,1
1770714113.0,1770717713.086,3600085.8,57.83441366666666,12.307226833333335,57.83440830208333,12.307223104166667,2.8249999999999997,2.5,2.5,1.1881077523388646,7,7,Reverse,73.6,4.2375,1
1770714114.0,1770717714.081,3600081.1,57.83441933333334,12.307225166666667,57.83441381770833,12.307224135416668,3.025,2.5,2.5,1.0998103764648828,6,6,Reverse,73.6,4.5375,1
1770714115.0,1770717715.085,3600085.0,57.834422333333336,12.307220500000001,57.83441807552084,12.307222317708334,3.025,2.5,2.5,0.9455196303494116,6,6,Reverse,73.7,4.5375,1
1770714116.0,1770717716.09,3600089.8,57.83442449999999,12.3072255,57.834421287760414,12.307223908854168,3.025,2.5,2.5,0.7709824141682607,6,6,Reverse,74.0,4.5375,1
1770714117.0,1770717717.079,3600079.0,57.834425833333334,12.307229833333334,57.834423560546874,12.30722687109375,3.025,2.5,2.5,0.6763430281374256,6,6,Reverse,74.1,4.5375,1
1770714118.0,1770717718.088,3600087.8,57.83442749999999,12.307239166666667,57.83442553027343,12.30723301888021,3.025,2.5,2.5,0.7114966295141079,6,6,Reverse,74.4,4.5375,1
1770714119.0,1770717719.096,3600096.0,57.834425499999995,12.307242333333333,57.834425515136715,12.307237676106771,3.025,2.5,2.5,0.6641363318148331,6,6,Reverse,74.6,4.5375,1
1770714120.0,1770717720.079,3600079.5,57.834422833333335,12.3072525,57.834424174235025,12.307245088053385,3.025,2.5,2.5,0.8061010930931767,6,6,Reverse,74.9,4.5375,1
1770714121.0,1770717721.102,3600102.4,57.83442333333334,12.307267166666668,57.83442375378418,12.307256127360027,3.025,2.5,2.5,1.0946255176499564,6,6,Reverse,75.2,4.5375,1
1770714122.0,1770717722.086,3600086.4,57.83442866666666,12.3072705,57.83442621022542,12.307263313680012,3.025,2.5,2.5,1.1609284341146573,6,6,Reverse,75.6,4.5375,1
1770714123.0,1770717723.09,3600090.2,57.834435666666664,12.307277500000001,57.83443093844604,12.307270406840008,2.8249999999999997,2.5,2.5,1.1271778245418203,7,7,Reverse,76.1,4.2375,1
1770714124.0,1770717724.096,3600095.9,57.83443833333334,12.307283,57.83443463588969,12.307276703420003,2.8249999999999997,2.5,2.5,1.0336436671481282,7,7,Reverse,76.5,4.2375,1
1770714125.0,1770717725.09,3600089.8,57.83444033333333,12.307293166666666,57.83443748461151,12.307284935043334,2.8249999999999997,2.5,2.5,1.0319769126560994,7,7,Reverse,76.8,4.2375,1
1770714126.0,1770717726.101,3600100.8,57.8344435,12.307294166666669,57.83444049230575,12.307289550855002,2.8249999999999997,2.5,2.5,0.906474830798885,7,7,Reverse,77.2,4.2375,1
1770714127.0,1770717727.09,3600089.9,57.83444566666667,12.307305000000001,57.83444307948621,12.307297275427501,2.8249999999999997,2.5,2.5,0.9099998500740684,7,7,Reverse,77.6,4.2375,1
1770714128.0,1770717728.095,3600094.7,57.83444666666666,12.307311666666665,57.834444873076436,12.307304471047084,2.8249999999999997,2.5,2.5,0.8859279680888823,7,7,Reverse,77.9,4.2375,1
1770714129.0,1770717729.089,3600088.6,57.83444683333334,12.3073205,57.83444585320488,12.307312485523541,2.8249999999999997,2.5,2.5,0.9082439373427542,7,7,Reverse,78.2,4.2375,1
1770714130.0,1770717730.093,3600093.5,57.83444866666667,12.307326499999999,57.83444725993578,12.30731949276177,2.8249999999999997,2.5,2.5,0.9192434260131579,7,7,Reverse,78.5,4.2375,1
1770714131.0,1770717731.087,3600087.4,57.83444933333333,12.307326499999999,57.834448296634555,12.307322996380885,2.9749999999999996,2.5,2.5,0.831454895244456,6,6,Reverse,78.7,4.4624999999999995,1
1770714132.0,1770717732.083,3600082.7,57.83444816666667,12.307332166666667,57.83444823165061,12.307327581523776,2.9749999999999996,2.5,2.5,0.8335322766734387,6,6,Reverse,79.0,4.4624999999999995,1
1770714133.0,1770717733.086,3600086.3,57.83444666666666,12.3073335,57.83444744915863,12.307330540761887,2.9749999999999996,2.5,2.5,0.8270420099052831,6,6,Reverse,79.2,4.4624999999999995,1
1770714134.0,1770717734.092,3600092.0,57.83444533333333,12.307335833333331,57.83444639124598,12.30733318704761,3.2750000000000004,2.5,2.5,0.83340599188043,5,5,Reverse,79.4,4.9125000000000005,1
1770714135.0,1770717735.086,3600086.3,57.834442833333334,12.307333000000002,57.83444461228966,12.307333093523805,3.2750000000000004,2.5,2.5,0.8122172000711466,5,5,Reverse,79.6,4.9125000000000005,1
1770714136.0,1770717736.08,3600080.2,57.83444166666666,12.307344666666665,57.83444313947816,12.307338880095235,3.2750000000000004,2.5,2.5,0.9022198072249059,5,5,Reverse,79.8,4.9125000000000005,1
1770714137.0,1770717737.094,3600094.4,57.834441166666664,12.307342000000002,57.83444215307241,12.30734044004762,3.025,2.5,2.5,0.8639314773154508,6,6,Reverse,80.0,4.5375,1
1770714138.0,1770717738.089,3600089.2,57.83444166666666,12.307344833333332,57.83444190986954,12.307342636690475,3.025,2.5,2.5,0.802595824467695,6,6,Reverse,80.0,4.5375,1
1770714139.0,1770717739.093,3600093.2,57.83443833333334,12.307339666666667,57.83444012160144,12.307341151678571,3.025,2.5,2.5,0.7101958283914994,6,6,Reverse,80.2,4.5375,1
1770714140.0,1770717740.087,3600087.1,57.8344375,12.307354666666667,57.83443881080072,12.30734790917262,3.025,2.5,2.5,0.812240160482203,6,6,Reverse,80.3,4.5375,1
1770714141.0,1770717741.094,3600093.6,57.83445100000001,12.307356166666667,57.83444490540036,12.307352037919642,3.0,2.5,2.5,0.9788850849257384,6,6,Reverse,80.6,4.5,1
