timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,altitude_m,alt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,fix_quality,fix_meaning,direction
1770573202.868086,57.83436567,12.30741483,57.83436850,12.30741742,2.419,3.751,77.30,4.65,1.240,1.51,7,7,1,GPS Fix (SPS),Stopped
1770573203.8750656,57.83436933,12.30741400,57.83436892,12.30741571,2.419,3.149,77.10,4.65,1.240,0.81,7,7,1,GPS Fix (SPS),Stopped
1770573204.8838854,57.83436217,12.30742083,57.83436554,12.30741827,2.419,2.648,76.70,4.65,1.240,1.54,7,7,1,GPS Fix (SPS),Stopped
1770573205.8747473,57.83436233,12.30742250,57.83436394,12.30742039,2.419,2.500,76.00,4.65,1.240,1.37,7,7,1,GPS Fix (SPS),Stopped
1770573206.8861392,57.83436117,12.30741983,57.83436255,12.30742011,2.419,2.500,75.60,4.65,1.240,1.33,7,7,1,GPS Fix (SPS),Stopped
1770573207.882995,57.83435317,12.30742117,57.83435786,12.30742064,2.419,2.500,75.50,4.65,1.240,2.21,7,7,1,GPS Fix (SPS),Stopped
1770573208.8809037,57.83435233,12.30741933,57.83435510,12.30741999,2.419,2.500,75.40,4.65,1.240,1.91,7,7,1,GPS Fix (SPS),Stopped
1770573209.871981,57.83434600,12.30742250,57.83435055,12.30742124,2.419,2.500,75.00,4.65,1.240,2.28,7,7,1,GPS Fix (SPS),Stopped
1770573210.8894348,57.83432900,12.30742917,57.83433977,12.30742520,2.419,2.500,74.70,4.65,1.240,3.61,7,7,1,GPS Fix (SPS),Forward
1770573211.8945873,57.83431467,12.30743650,57.83432722,12.30743085,2.419,2.500,74.50,4.65,1.240,4.38,7,7,1,GPS Fix (SPS),Forward
1770573212.874903,57.83432000,12.30743733,57.83432361,12.30743409,2.419,2.500,74.70,4.65,1.240,2.92,7,7,1,GPS Fix (SPS),Stopped
1770573213.8838842,57.83432650,12.30743433,57.83432506,12.30743421,2.419,2.500,74.30,4.65,1.240,1.80,7,7,1,GPS Fix (SPS),Stopped
1770573214.8834414,57.83431567,12.30743483,57.83432036,12.30743452,2.419,2.500,74.40,4.65,1.240,2.46,7,7,1,GPS Fix (SPS),Stopped
1770573215.8752143,57.83432517,12.30742483,57.83432276,12.30742968,2.419,2.500,73.90,4.65,1.240,0.73,7,7,1,GPS Fix (SPS),Reverse
1770573216.86565,57.83432783,12.30742267,57.83432530,12.30742617,2.419,2.500,73.70,4.65,1.240,0.68,7,7,1,GPS Fix (SPS),Reverse
1770573217.8753803,57.83432217,12.30741783,57.83432373,12.30742200,2.419,2.500,73.50,4.65,1.240,1.45,7,7,1,GPS Fix (SPS),Reverse
1770573218.8799076,57.83433483,12.30741000,57.83432928,12.30741600,2.419,2.500,73.60,4.65,1.240,0.32,7,7,1,GPS Fix (SPS),Reverse
1770573219.8752878,57.83434217,12.30740417,57.83433572,12.30741008,2.419,2.500,73.60,4.65,1.240,0.38,7,7,1,GPS Fix (SPS),Reverse
1770573220.8752344,57.83433867,12.30740033,57.83433720,12.30740521,2.419,2.500,73.80,4.65,1.240,1.15,7,7,1,GPS Fix (SPS),Reverse
1770573221.8826451,57.83434617,12.30739317,57.83434168,12.30739919,2.419,2.500,74.30,4.65,1.240,0.91,7,7,1,GPS Fix (SPS),Reverse
1770573222.8809218,57.83435067,12.30738350,57.83434617,12.30739134,2.419,2.500,74.70,4.65,1.240,1.20,7,7,1,GPS Fix (SPS),Reverse
1770573223.8838475,57.83436517,12.30738733,57.83435567,12.30738934,2.419,2.500,75.00,4.65,1.240,0.24,7,7,1,GPS Fix (SPS),Stopped
1770573224.879206,57.83436733,12.30737767,57.83436150,12.30738350,2.419,2.500,75.20,4.65,1.240,0.51,7,7,1,GPS Fix (SPS),Reverse
1770573225.8845794,57.83437767,12.30737817,57.83436958,12.30738083,2.419,2.500,75.30,4.65,1.240,0.39,7,7,1,GPS Fix (SPS),Stopped
1770573226.8750052,57.83437250,12.30737483,57.83437104,12.30737783,2.429,2.500,75.50,4.69,1.250,0.58,6,6,1,GPS Fix (SPS),Stopped
1770573227.8763082,57.83437367,12.30736667,57.83437235,12.30737225,2.429,2.500,75.70,4.69,1.250,0.85,6,6,1,GPS Fix (SPS),Reverse
1770573228.8760178,57.83438117,12.30735967,57.83437676,12.30736596,2.419,2.500,75.70,4.65,1.240,0.68,7,7,1,GPS Fix (SPS),Reverse
1770573229.8766954,57.83437967,12.30735933,57.83437821,12.30736265,2.419,2.500,75.70,4.65,1.240,0.60,7,7,1,GPS Fix (SPS),Stopped
1770573230.8845031,57.83438083,12.30735833,57.83437952,12.30736049,2.419,2.500,75.40,4.65,1.240,0.79,7,7,1,GPS Fix (SPS),Stopped
1770573231.8771858,57.83437817,12.30735700,57.83437885,12.30735874,2.419,2.500,75.40,4.65,1.240,1.21,7,7,1,GPS Fix (SPS),Stopped
1770573232.8860676,57.83437617,12.30735517,57.83437751,12.30735696,2.419,2.500,75.60,4.65,1.240,1.33,7,7,1,GPS Fix (SPS),Stopped
1770573233.8795865,57.83438317,12.30735233,57.83438034,12.30735464,2.419,2.500,75.90,4.65,1.240,0.66,7,7,1,GPS Fix (SPS),Stopped
