gps_epoch_s,pc_epoch_s,time_offset_ms,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770714889.0,1770718489.079,3600078.9,57.834370500000006,12.307368499999999,57.834370166666666,12.30736975,2.75,3.75099986670221,3.75099986670221,0.39863690063706225,7,7,Reverse,87.6,4.125,1
1770714890.0,1770718490.087,3600086.5,57.83437333333333,12.307366333333334,57.83437175,12.307368041666667,2.75,3.149444395445012,3.149444395445012,0.4671209317179694,7,7,Reverse,87.8,4.125,1
1770714891.0,1770718491.079,3600079.3,57.83437949999999,12.307366000000002,57.83437562499999,12.307367020833334,2.75,2.648263582047678,2.648263582047678,0.5722485164116395,7,7,Reverse,87.9,4.125,1
1770714892.0,1770718492.086,3600086.2,57.834382999999995,12.307366333333334,57.8343793125,12.307366677083333,2.75,2.5,2.5,0.6180071178567568,7,7,Reverse,87.6,4.125,1
1770714893.0,1770718493.079,3600079.3,57.834379166666665,12.307369000000001,57.83437923958333,12.307367838541667,2.75,2.5,2.5,0.6121931989770178,7,7,Reverse,87.4,4.125,1
1770714894.0,1770718494.082,3600081.7,57.83438283333333,12.307371,57.83438103645833,12.307369419270834,2.75,2.5,2.5,0.4600851022926411,7,7,Reverse,87.5,4.125,1
1770714895.0,1770718495.079,3600079.3,57.83437966666667,12.307373500000002,57.8343803515625,12.307371459635418,2.75,2.5,2.5,0.5243156400638763,7,7,Reverse,87.4,4.125,1
1770714896.0,1770718496.084,3600083.6,57.834384,12.307376166666666,57.83438217578125,12.307373813151042,2.75,2.5,2.5,0.5207497875446613,7,7,Reverse,87.2,4.125,1
1770714897.0,1770718497.088,3600088.4,57.83438233333333,12.307373,57.83438225455729,12.307373406575522,2.75,2.5,2.5,0.6504182240508388,7,7,Reverse,87.3,4.125,1
1770714898.0,1770718498.093,3600092.7,57.834382999999995,12.307371833333331,57.83438262727864,12.307372619954426,2.75,2.5,2.5,0.6422172946043778,7,7,Reverse,87.1,4.125,1
1770714899.0,1770718499.088,3600087.8,57.834388833333335,12.3073775,57.83438573030599,12.307375059977213,2.75,2.5,2.5,0.5557343168640808,7,7,Reverse,87.1,4.125,1
1770714900.0,1770718500.079,3600078.9,57.834388000000004,12.307375000000002,57.83438686515299,12.307375029988608,2.75,2.5,2.5,0.4615592156183147,7,7,Reverse,87.0,4.125,1
1770714901.0,1770718501.088,3600087.7,57.834390166666665,12.3073785,57.83438851590983,12.307376764994304,2.75,2.5,2.5,0.386987739187323,7,7,Reverse,87.1,4.125,1
1770714902.0,1770718502.079,3600079.0,57.83439683333333,12.307383,57.83439267462158,12.307379882497152,2.75,2.5,2.5,0.4836407612009424,7,7,Reverse,87.1,4.125,1
1770714903.0,1770718503.086,3600085.6,57.83439283333334,12.307380833333331,57.83439275397746,12.30738035791524,2.75,2.5,2.5,0.42377822589728376,7,7,Reverse,87.0,4.125,1
1770714904.0,1770718504.091,3600091.1,57.83439283333334,12.307376666666668,57.8343927936554,12.307378512290954,2.75,2.5,2.5,0.33235045239664945,7,7,Reverse,87.2,4.125,1
1770714905.0,1770718505.079,3600079.2,57.83439866666666,12.307379666666668,57.83439573016103,12.307379089478811,2.75,2.5,2.5,0.3163631226401713,7,7,Reverse,87.2,4.125,1
1770714906.0,1770718506.083,3600083.1,57.834393166666665,12.307375500000001,57.834394448413846,12.307377294739407,2.75,2.5,2.5,0.42615161051256334,7,7,Reverse,87.2,4.125,1
