gps_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770712029.867,57.83444366666666,12.307404333333333,57.83444166666666,12.307404666666667,3.05,3.75099986670221,3.75099986670221,0.25584394933833876,7,7,Reverse,94.3,4.574999999999999,1
1770712030.922,57.83444616666667,12.3074055,57.83444391666667,12.307405083333332,3.05,3.149444395445012,3.149444395445012,0.2479723440547508,7,7,Reverse,94.6,4.574999999999999,1
1770712031.944,57.83444666666666,12.307412166666666,57.83444529166666,12.307408624999999,3.05,2.648263582047678,2.648263582047678,0.4714166625190408,7,7,Reverse,94.6,4.574999999999999,1
1770712032.951,57.83444899999999,12.307397166666666,57.83444714583333,12.307402895833333,3.05,2.5,2.5,0.5976277760253436,7,7,Reverse,94.7,4.574999999999999,1
1770712033.962,57.834445,12.307392666666665,57.83444607291666,12.30739778125,3.05,2.5,2.5,0.5609021486042357,7,7,Reverse,94.7,4.574999999999999,1
1770712034.963,57.834444166666664,12.307386833333332,57.83444511979167,12.307392307291666,3.05,2.5,2.5,0.5479002114998441,7,7,Reverse,94.3,4.574999999999999,1
1770712035.958,57.83444299999999,12.307388833333334,57.83444405989583,12.3073905703125,3.05,2.5,2.5,0.5394736465587652,7,7,Reverse,93.9,4.574999999999999,1
1770712036.973,57.83443616666667,12.307386666666666,57.83444011328125,12.307388618489583,3.825,2.5,2.5,0.7655509670599299,6,6,Reverse,94.0,5.737500000000001,1
1770712037.982,57.8344465,12.307385166666666,57.83444330664062,12.307386892578124,3.825,2.5,2.5,0.6238415638013155,6,6,Reverse,93.6,5.737500000000001,1
1770712038.992,57.83444766666666,12.307390333333334,57.83444548665364,12.30738861295573,3.825,2.5,2.5,0.609502273012047,6,6,Reverse,93.6,5.737500000000001,1
1770712040.003,57.8344495,12.307394833333335,57.83444749332682,12.307391723144532,3.825,2.5,2.5,0.678818184734314,6,6,Reverse,93.5,5.737500000000001,1
1770712040.997,57.834444,12.307392666666665,57.83444574666341,12.3073921949056,3.825,2.5,2.5,0.6775087299590375,6,6,Reverse,93.2,5.737500000000001,1
1770712042.001,57.834447,12.307392499999999,57.8344463733317,12.307392347452799,3.825,2.5,2.5,0.6067284843752195,6,6,Reverse,92.9,5.737500000000001,1
1770712043.007,57.834442833333334,12.307389833333332,57.83444460333252,12.307391090393065,3.05,2.5,2.5,0.4583816628580031,7,7,Reverse,92.9,4.574999999999999,1
1770712044.005,57.83442483333333,12.307386333333334,57.83443471833292,12.307388711863199,3.05,2.5,2.5,0.7297773782642051,7,7,Reverse,92.6,4.574999999999999,1
1770712044.989,57.83442016666666,12.307382666666667,57.834427442499795,12.307385689264933,3.05,2.5,2.5,0.8562890476857076,7,7,Reverse,92.7,4.574999999999999,1
1770712046.002,57.83441766666667,12.307383499999998,57.83442255458323,12.307384594632467,3.05,2.5,2.5,0.9156521533327449,7,7,Reverse,92.5,4.574999999999999,1
1770712047.006,57.834418166666666,12.307385833333335,57.83442036062495,12.3073852139829,3.05,2.5,2.5,0.878590342077511,7,7,Reverse,92.6,4.574999999999999,1
1770712048.001,57.834419833333335,12.307381000000001,57.834420096979144,12.30738310699145,3.05,2.5,2.5,0.8041629345701926,7,7,Reverse,92.5,4.574999999999999,1
1770712049.003,57.83443783333334,12.307383666666665,57.83442896515624,12.307383386829057,3.05,2.5,2.5,1.0099488662070824,7,7,Reverse,92.3,4.574999999999999,1
1770712049.999,57.83444066666666,12.307377666666666,57.83443481591145,12.307380526747862,3.05,2.5,2.5,1.1378943942215054,7,7,Reverse,92.4,4.574999999999999,1
1770712051.004,57.83443283333333,12.307376500000002,57.83443382462239,12.307378513373932,3.05,2.5,2.5,0.9110001616582911,7,7,Reverse,92.2,4.574999999999999,1
1770712051.997,57.83443033333333,12.307376333333332,57.83443207897786,12.307377423353632,3.05,2.5,2.5,0.715623491705304,7,7,Reverse,92.0,4.574999999999999,1
1770712053.003,57.83442933333334,12.307376,57.8344307061556,12.307376711676817,3.05,2.5,2.5,0.5524401236420422,7,7,Reverse,92.2,4.574999999999999,1
