timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,direction
1770562199.971822,57.83451433,12.30726433,57.83451358,12.30727142,2.457,3.751,1.280,1.49,5,5,Stopped
1770562200.9766982,57.83452167,12.30727600,57.83451762,12.30727371,2.457,3.149,1.280,1.98,5,5,Forward
1770562201.9773295,57.83451683,12.30726583,57.83451723,12.30726977,2.457,2.648,1.280,0.89,5,5,Reverse
1770562202.9683378,57.83452467,12.30727967,57.83452095,12.30727472,3.657,2.500,2.540,1.56,4,4,Forward
1770562203.9515176,57.83452800,12.30728683,57.83452447,12.30728078,3.657,2.500,2.540,1.75,4,4,Forward
1770562204.9696455,57.83452583,12.30727183,57.83452515,12.30727630,3.657,2.500,2.540,1.09,4,4,Reverse
1770562205.9647114,57.83453333,12.30729333,57.83452924,12.30728482,3.657,2.500,2.540,2.37,4,4,Forward
1770562206.963733,57.83453233,12.30729283,57.83453079,12.30728883,3.657,2.500,2.540,1.87,4,4,Reverse
1770562207.9672513,57.83453433,12.30727667,57.83453256,12.30728275,3.657,2.500,2.540,1.43,4,4,Reverse
1770562208.9739172,57.83453300,12.30726367,57.83453278,12.30727321,2.457,2.500,1.280,1.23,5,5,Reverse
1770562209.9701731,57.83453300,12.30728800,57.83453289,12.30728060,2.457,2.500,1.280,1.19,5,5,Forward
1770562210.970736,57.83452050,12.30729533,57.83452670,12.30728797,2.457,2.500,1.280,0.30,5,5,Forward
1770562211.9719093,57.83451083,12.30731033,57.83451876,12.30729915,2.457,2.500,1.280,1.45,5,5,Forward
1770562212.9648964,57.83451000,12.30732650,57.83451438,12.30731283,2.457,2.500,1.280,1.57,5,5,Forward
1770562213.9533281,57.83450617,12.30734067,57.83451027,12.30732675,2.457,2.500,1.280,1.46,5,5,Forward
1770562214.9665935,57.83450667,12.30735700,57.83450847,12.30734187,2.457,2.500,1.280,1.50,5,5,Forward
1770562215.964846,57.83450617,12.30735833,57.83450732,12.30735010,2.457,2.500,1.280,1.21,5,5,Forward
1770562216.9552033,57.83450250,12.30736117,57.83450491,12.30735563,3.648,2.500,2.530,1.26,4,4,Forward
1770562217.9672503,57.83449533,12.30735533,57.83450012,12.30735548,3.648,2.500,2.530,1.50,4,4,Reverse
1770562218.9721599,57.83449667,12.30736067,57.83449839,12.30735808,3.648,2.500,2.530,0.67,4,4,Forward
