timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,direction
1770562796.9631386,57.83450350,12.30723683,57.83452553,12.30724180,3.543,2.500,2.420,0.73,5,5,Reverse
1770562797.9599493,57.83449067,12.30724633,57.83450810,12.30724406,3.543,2.500,2.420,1.10,5,5,Stopped
1770562798.9653718,57.83447433,12.30723367,57.83449122,12.30723887,3.543,2.500,2.420,0.31,5,5,Reverse
1770562799.9499006,57.83445217,12.30721167,57.83447169,12.30722527,3.543,2.500,2.420,1.36,5,5,Reverse
1770562800.9649084,57.83445267,12.30721200,57.83446218,12.30721863,3.543,2.500,2.420,0.78,5,5,Reverse
1770562801.9507697,57.83445517,12.30721917,57.83445867,12.30721890,3.543,2.500,2.420,0.40,5,5,Stopped
1770562802.9527283,57.83445750,12.30722733,57.83445809,12.30722312,3.543,2.500,2.420,0.86,5,5,Forward
1770562803.962622,57.83448183,12.30722850,57.83446996,12.30722581,3.543,2.500,2.420,2.55,5,5,Stopped
1770562804.951406,57.83447250,12.30721217,57.83447123,12.30721899,3.543,2.500,2.420,1.97,5,5,Reverse
1770562805.9534886,57.83447150,12.30720117,57.83447136,12.30721008,3.543,2.500,2.420,1.94,5,5,Reverse
1770562806.9691505,57.83448817,12.30720500,57.83447977,12.30720754,3.543,2.500,2.420,2.31,5,5,Stopped
1770562807.9510822,57.83449117,12.30720050,57.83448547,12.30720402,3.543,2.500,2.420,2.23,5,5,Reverse
1770562808.9681797,57.83450317,12.30721650,57.83449432,12.30721026,4.086,2.500,2.990,2.22,4,4,Forward
1770562809.9663014,57.83450767,12.30722300,57.83450099,12.30721663,2.838,2.500,1.680,2.10,6,6,Forward
1770562810.9527843,57.83451667,12.30723800,57.83450883,12.30722731,3.343,2.500,2.210,2.27,5,5,Forward
1770562811.968995,57.83452850,12.30725317,57.83451866,12.30724024,3.343,2.500,2.210,3.03,5,5,Forward
1770562812.953482,57.83453283,12.30727350,57.83452575,12.30725687,3.343,2.500,2.210,3.40,5,5,Forward
1770562813.9499636,57.83453983,12.30728383,57.83453279,12.30727035,3.343,2.500,2.210,3.36,5,5,Forward
1770562814.964015,57.83454283,12.30728800,57.83453781,12.30727918,3.371,2.500,2.240,3.15,5,5,Forward
1770562815.9613194,57.83453783,12.30729917,57.83453782,12.30728917,3.371,2.500,2.240,2.74,5,5,Forward
1770562816.957489,57.83452383,12.30729967,57.83453083,12.30729442,5.238,2.500,4.200,1.60,4,4,Forward
1770562817.9535336,57.83450817,12.30729767,57.83451950,12.30729604,5.229,2.500,4.190,0.71,4,4,Stopped
1770562818.9662576,57.83450567,12.30728983,57.83451258,12.30729294,5.229,2.500,4.190,1.39,4,4,Stopped
1770562819.9502265,57.83454617,12.30735150,57.83452937,12.30732222,5.229,2.500,4.190,2.70,4,4,Forward
