timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh
1770560134.9842772,57.83441067,12.30723883,57.83441442,12.30723308,3.571,4.483,1.460,1.05
1770560135.980646,57.83441117,12.30723433,57.83441279,12.30723371,3.976,4.494,1.630,1.44
1770560136.986131,57.83440850,12.30723867,57.83441065,12.30723619,3.976,4.506,1.630,0.96
1770560137.971145,57.83441367,12.30724067,57.83441216,12.30723843,3.976,4.517,1.630,0.35
1770560138.9865434,57.83441000,12.30725350,57.83441108,12.30724596,3.976,4.528,1.630,0.63
1770560139.9712417,57.83440767,12.30726167,57.83440937,12.30725382,3.976,4.539,1.630,0.82
1770560140.9729245,57.83440467,12.30726800,57.83440702,12.30726091,3.976,4.550,1.630,0.46
1770560141.9808323,57.83439550,12.30727950,57.83440126,12.30727020,5.429,4.561,2.240,1.01
1770560144.9833462,57.83441450,12.30719167,57.83440788,12.30723094,12.000,4.572,99.990,3.14
1770560149.9844408,57.83448550,12.30700067,57.83444669,12.30711580,12.000,4.583,99.990,7.09
1770560150.9875636,57.83455583,12.30690200,57.83450126,12.30700890,4.571,4.593,1.880,9.21
1770560151.9874465,57.83455933,12.30691683,57.83453030,12.30696287,4.571,4.604,1.880,7.37
1770560152.983428,57.83455433,12.30693050,57.83454232,12.30694668,6.048,4.615,2.500,5.76
1770560153.9794784,57.83455633,12.30695500,57.83454932,12.30695084,6.048,4.626,2.500,4.68
1770560154.9844716,57.83457000,12.30696300,57.83455966,12.30695692,6.048,4.637,2.500,4.99
1770560155.9792879,57.83458300,12.30697900,57.83457133,12.30696796,6.048,4.648,2.500,5.05
1770560156.9861174,57.83459317,12.30699983,57.83458225,12.30698390,6.524,4.658,2.700,4.61
1770560157.9792068,57.83460283,12.30703600,57.83459254,12.30700995,6.524,4.669,2.700,4.79
1770560158.9858167,57.83460633,12.30704667,57.83459944,12.30702831,6.524,4.680,2.700,4.43
1770560159.9808686,57.83460950,12.30706483,57.83460447,12.30704657,6.524,4.690,2.700,4.04
1770560160.9830668,57.83460933,12.30707683,57.83460690,12.30706170,6.524,4.701,2.700,3.66
1770560161.9799209,57.83459800,12.30711233,57.83460245,12.30708702,6.524,4.712,2.700,2.51
1770560162.9870086,57.83458767,12.30714233,57.83459506,12.30711468,6.524,4.722,2.700,1.72
1770560163.9711976,57.83458417,12.30715617,57.83458961,12.30713542,6.524,4.733,2.700,1.56
1770560164.9714606,57.83459000,12.30716533,57.83458981,12.30715038,10.143,4.743,4.220,1.86
1770560165.9869008,57.83459000,12.30717383,57.83458990,12.30716211,10.143,4.754,4.220,1.97
1770560166.987487,57.83458417,12.30721233,57.83458703,12.30718722,10.143,4.764,4.220,2.13
1770560167.9709337,57.83457683,12.30719967,57.83458193,12.30719344,6.524,4.775,2.700,1.55
1770560168.9750419,57.83457583,12.30719983,57.83457888,12.30719664,6.524,4.785,2.700,1.54
1770560169.9798899,57.83455300,12.30721433,57.83456594,12.30720549,6.524,4.796,2.700,0.15
1770560170.9902227,57.83455733,12.30719850,57.83456164,12.30720199,6.524,4.806,2.700,0.72
1770560171.991543,57.83455567,12.30720067,57.83455865,12.30720133,6.524,4.817,2.700,0.74
1770560172.9847019,57.83454783,12.30721467,57.83455324,12.30720800,6.524,4.827,2.700,1.02
1770560173.9817634,57.83456000,12.30721350,57.83455662,12.30721075,6.524,4.837,2.700,2.15
1770560174.988057,57.83455683,12.30721933,57.83455673,12.30721504,6.524,4.848,2.700,1.97
1770560175.9822261,57.83454800,12.30723217,57.83455236,12.30722360,6.524,4.858,2.700,1.95
1770560176.9853241,57.83454400,12.30723650,57.83454818,12.30723005,6.524,4.868,2.700,1.72
1770560177.9811428,57.83453817,12.30724167,57.83454317,12.30723586,6.524,4.879,2.700,1.76
1770560178.9857388,57.83453033,12.30724117,57.83453675,12.30723851,6.524,4.889,2.700,0.91
1770560179.9848218,57.83453317,12.30723783,57.83453496,12.30723817,6.524,4.899,2.700,1.21
1770560180.9852235,57.83451533,12.30725300,57.83452515,12.30724559,6.524,4.909,2.700,0.85
1770560181.9832118,57.83451033,12.30726650,57.83451774,12.30725604,6.524,4.919,2.700,1.00
1770560182.984976,57.83449767,12.30728583,57.83450770,12.30727094,4.667,4.930,1.920,1.22
1770560183.983126,57.83448533,12.30730200,57.83449652,12.30728647,4.667,4.940,1.920,1.68
1770560184.9870691,57.83447850,12.30731083,57.83448751,12.30729865,4.667,4.950,1.920,1.52
1770560185.9771616,57.83447417,12.30731033,57.83448084,12.30730449,4.667,4.960,1.920,0.94
1770560186.971937,57.83447183,12.30731583,57.83447634,12.30731016,4.667,4.970,1.920,0.74
1770560187.983247,57.83446017,12.30731733,57.83446825,12.30731375,4.667,4.980,1.920,1.18
1770560188.9847074,57.83445267,12.30732617,57.83446046,12.30731996,4.667,4.990,1.920,1.38
1770560189.9845088,57.83445117,12.30733233,57.83445581,12.30732615,4.667,5.000,1.920,1.07
1770560190.98905,57.83445450,12.30732717,57.83445516,12.30732666,4.667,5.010,1.920,0.24
1770560191.9842708,57.83446367,12.30732483,57.83445941,12.30732574,4.667,5.020,1.920,1.25
1770560192.988401,57.83443050,12.30732717,57.83444496,12.30732646,4.667,5.030,1.920,1.36
1770560193.983752,57.83441733,12.30732833,57.83443114,12.30732739,4.667,5.040,1.920,1.73
1770560194.9807496,57.83445933,12.30732033,57.83444524,12.30732386,4.667,5.050,1.920,0.55
1770560195.9851756,57.83450150,12.30730767,57.83447337,12.30731577,3.738,5.060,1.530,1.00
1770560197.9734778,57.83450133,12.30730550,57.83448735,12.30731063,12.000,5.070,99.990,0.47
1770560198.9782102,57.83450367,12.30729167,57.83449551,12.30730115,12.000,5.079,18.210,1.34
1770560203.9874475,57.83449100,12.30727500,57.83449325,12.30728807,12.000,5.089,99.990,0.90
1770560204.9811552,57.83447083,12.30728567,57.83448204,12.30728687,10.190,5.099,4.240,1.01
1770560205.9849293,57.83444350,12.30727050,57.83446277,12.30727869,10.190,5.109,4.240,2.20
1770560206.9802024,57.83441233,12.30726683,57.83443755,12.30727276,10.190,5.119,4.240,3.07
1770560207.9847534,57.83441167,12.30730167,57.83442461,12.30728721,10.190,5.128,4.240,2.39
1770560208.979539,57.83440283,12.30730483,57.83441372,12.30729602,10.190,5.138,4.240,2.28
1770560209.9867964,57.83443167,12.30731283,57.83442269,12.30730443,10.190,5.148,4.240,1.05
1770560210.9816008,57.83444983,12.30731767,57.83443626,12.30731105,7.024,5.158,2.910,0.79
1770560211.9872892,57.83446100,12.30731700,57.83444863,12.30731402,7.024,5.167,2.910,0.76
1770560212.9923985,57.83447950,12.30734233,57.83446407,12.30732818,7.024,5.177,2.910,1.81
1770560213.9868345,57.83449650,12.30733400,57.83448028,12.30733109,7.024,5.187,2.910,1.69
1770560214.991323,57.83451150,12.30735983,57.83449589,12.30734546,7.024,5.196,2.910,2.45
1770560215.9856765,57.83449867,12.30723883,57.83449728,12.30729215,7.024,5.206,2.910,0.96
1770560216.9819422,57.83450517,12.30719383,57.83450122,12.30724299,4.095,5.215,1.680,1.40
1770560217.989025,57.83451017,12.30715433,57.83450569,12.30719866,4.095,5.225,1.680,2.22
1770560218.98508,57.83452033,12.30715550,57.83451301,12.30717708,4.095,5.235,1.680,2.46
1770560219.988276,57.83452833,12.30713550,57.83452067,12.30715629,4.095,5.244,1.680,2.83
1770560220.992061,57.83452767,12.30714200,57.83452417,12.30714915,4.095,5.254,1.680,1.92
1770560221.9873917,57.83453900,12.30714183,57.83453159,12.30714549,4.095,5.263,1.680,2.70
1770560222.9817364,57.83455450,12.30713200,57.83454304,12.30713874,4.095,5.273,1.680,3.67
1770560223.9900198,57.83455933,12.30710683,57.83455119,12.30712279,4.095,5.282,1.680,3.32
1770560224.9844968,57.83456617,12.30708917,57.83455868,12.30710598,4.095,5.292,1.680,3.33
1770560225.9831634,57.83457917,12.30708233,57.83456892,12.30709416,4.095,5.301,1.680,3.82
1770560226.985232,57.83457233,12.30709500,57.83457063,12.30709458,4.095,5.310,1.680,3.38
1770560227.9902263,57.83454783,12.30714850,57.83455923,12.30712154,3.381,5.320,1.380,1.18
1770560228.9904733,57.83453833,12.30717333,57.83454878,12.30714744,3.381,5.329,1.380,0.94
1770560229.990029,57.83453800,12.30720200,57.83454339,12.30717472,3.381,5.339,1.380,1.14
1770560230.987541,57.83452567,12.30722367,57.83453453,12.30719919,3.381,5.348,1.380,0.53
1770560231.988996,57.83452933,12.30723300,57.83453193,12.30721610,3.381,5.357,1.380,0.64
1770560232.9864612,57.83451567,12.30723283,57.83452380,12.30722446,3.214,5.367,1.310,1.74
1770560233.9926581,57.83452267,12.30723050,57.83452323,12.30722748,3.214,5.376,1.310,1.14
1770560234.9867396,57.83451633,12.30723683,57.83451978,12.30723216,3.214,5.385,1.310,1.50
1770560235.9932983,57.83451533,12.30723717,57.83451756,12.30723466,3.214,5.394,1.310,1.39
1770560236.9852898,57.83451533,12.30724517,57.83451645,12.30723991,3.214,5.404,1.310,1.05
1770560237.9866066,57.83451400,12.30724467,57.83451522,12.30724229,3.214,5.413,1.310,1.03
1770560238.9917676,57.83451083,12.30725117,57.83451303,12.30724673,3.214,5.422,1.310,1.13
1770560239.983183,57.83451117,12.30725817,57.83451210,12.30725245,3.214,5.431,1.310,1.09
1770560240.9902592,57.83450900,12.30725300,57.83451055,12.30725272,3.214,5.441,1.310,0.97
1770560241.9851208,57.83450733,12.30727183,57.83450894,12.30726228,3.571,5.450,1.460,1.39
1770560242.992036,57.83450950,12.30726800,57.83450922,12.30726514,3.571,5.459,1.460,0.41
1770560243.9859893,57.83450900,12.30727300,57.83450911,12.30726907,3.571,5.468,1.460,0.57
1770560244.9830055,57.83450883,12.30727283,57.83450897,12.30727095,3.571,5.477,1.460,0.24
1770560245.9863443,57.83451200,12.30726783,57.83451049,12.30726939,3.571,5.486,1.460,0.38
1770560246.9862497,57.83450967,12.30726917,57.83451008,12.30726928,3.571,5.495,1.460,0.11
1770560247.9858916,57.83450867,12.30727633,57.83450937,12.30727281,3.571,5.505,1.460,0.48
1770560248.9841075,57.83450867,12.30727700,57.83450902,12.30727490,3.214,5.514,1.310,0.15
1770560249.987676,57.83450750,12.30727633,57.83450826,12.30727562,3.214,5.523,1.310,0.17
1770560250.9966145,57.83449733,12.30727167,57.83450280,12.30727364,3.214,5.532,1.310,1.30
1770560251.9877343,57.83449350,12.30726533,57.83449815,12.30726949,3.214,5.541,1.310,1.61
1770560252.9954355,57.83448750,12.30725833,57.83449282,12.30726391,3.214,5.550,1.310,1.82
1770560253.9904325,57.83447400,12.30725717,57.83448341,12.30726054,3.214,5.559,1.310,2.56
1770560254.9856415,57.83445967,12.30724950,57.83447154,12.30725502,3.214,5.568,1.310,3.47
1770560255.991534,57.83444850,12.30724733,57.83446002,12.30725118,3.214,5.577,1.310,3.56
1770560256.9874701,57.83444650,12.30724917,57.83445326,12.30725017,3.214,5.586,1.310,2.63
1770560257.9839332,57.83443317,12.30724850,57.83444321,12.30724934,3.976,5.595,1.630,3.16
1770560258.9781528,57.83444133,12.30725450,57.83444227,12.30725192,4.143,5.604,1.700,1.68
1770560259.9829738,57.83442917,12.30725883,57.83443572,12.30725538,4.143,5.612,1.700,2.25
1770560260.9711082,57.83442417,12.30726550,57.83442994,12.30726044,4.143,5.621,1.700,2.15
1770560261.9830956,57.83443533,12.30727633,57.83443264,12.30726839,4.143,5.630,1.700,1.67
1770560262.9835215,57.83443717,12.30727367,57.83443490,12.30727103,4.143,5.639,1.700,0.97
1770560263.9938731,57.83442817,12.30727750,57.83443153,12.30727426,4.143,5.648,1.700,1.22
1770560264.979939,57.83443550,12.30728200,57.83443352,12.30727813,3.357,5.657,1.370,0.96
1770560265.9847984,57.83443733,12.30728033,57.83443543,12.30727923,4.619,5.666,1.900,0.50
1770560266.9804554,57.83443867,12.30727617,57.83443705,12.30727770,4.619,5.675,1.900,0.08
1770560267.9847722,57.83444067,12.30728300,57.83443886,12.30728035,4.619,5.683,1.900,0.64
1770560268.9805603,57.83443717,12.30728300,57.83443801,12.30728167,4.619,5.692,1.900,0.51
1770560269.9857,57.83443267,12.30726683,57.83443534,12.30727425,4.619,5.701,1.900,1.04
1770560270.99016,57.83442500,12.30726267,57.83443017,12.30726846,3.357,5.710,1.370,1.34
1770560271.9871926,57.83442950,12.30726783,57.83442983,12.30726815,3.357,5.718,1.370,0.65
1770560272.9820337,57.83442533,12.30727150,57.83442758,12.30726982,3.357,5.727,1.370,0.88
1770560273.9878788,57.83441833,12.30727650,57.83442296,12.30727316,3.357,5.736,1.370,1.33
1770560274.9926476,57.83442650,12.30728450,57.83442473,12.30727883,3.357,5.745,1.370,1.05
1770560275.9835265,57.83444050,12.30728283,57.83443261,12.30728083,3.357,5.753,1.370,0.75
1770560276.992377,57.83444250,12.30730800,57.83443756,12.30729442,3.357,5.762,1.370,2.24
1770560277.9877324,57.83443750,12.30732533,57.83443753,12.30730987,3.357,5.771,1.370,2.77
1770560278.9845285,57.83444017,12.30733417,57.83443885,12.30732202,3.357,5.779,1.370,2.69
1770560279.9893632,57.83444600,12.30732150,57.83444242,12.30732176,3.357,5.788,1.370,1.30
1770560280.9944623,57.83444983,12.30732017,57.83444613,12.30732096,3.357,5.797,1.370,1.01
1770560281.9901505,57.83444767,12.30732050,57.83444690,12.30732073,3.357,5.805,1.370,0.72
1770560282.9846077,57.83445133,12.30731833,57.83444912,12.30731953,3.357,5.814,1.370,0.75
1770560283.9901302,57.83445650,12.30729917,57.83445281,12.30730935,3.357,5.822,1.370,1.10
1770560284.984458,57.83445250,12.30729417,57.83445265,12.30730176,4.143,5.831,1.700,0.83
1770560285.9801905,57.83445000,12.30729250,57.83445133,12.30729713,4.143,5.840,1.700,0.68
1770560286.9865508,57.83445083,12.30728350,57.83445108,12.30729031,4.143,5.848,1.700,1.02
1770560287.971211,57.83445533,12.30727400,57.83445321,12.30728216,4.143,5.857,1.700,1.49
1770560288.9866507,57.83445717,12.30726350,57.83445519,12.30727283,4.143,5.865,1.700,1.74
1770560289.9809265,57.83446683,12.30726200,57.83446101,12.30726741,4.143,5.874,1.700,1.71
1770560290.9843636,57.83446267,12.30725417,57.83446184,12.30726079,5.262,5.882,2.170,1.55
1770560291.9807858,57.83445667,12.30724933,57.83445925,12.30725506,5.262,5.891,2.170,1.24
1770560292.9753122,57.83445250,12.30725467,57.83445588,12.30725486,5.262,5.899,2.170,0.38
1770560293.983245,57.83445567,12.30725000,57.83445577,12.30725243,5.262,5.908,2.170,0.71
1770560294.987566,57.83445517,12.30723933,57.83445547,12.30724588,5.262,5.916,2.170,1.24
1770560295.9830372,57.83445917,12.30723983,57.83445732,12.30724286,5.262,5.925,2.170,1.08
1770560296.987502,57.83445550,12.30723783,57.83445641,12.30724035,5.262,5.933,2.170,1.01
1770560297.982212,57.83446600,12.30723817,57.83446120,12.30723926,5.262,5.941,2.170,1.52
1770560298.9879425,57.83447217,12.30724533,57.83446669,12.30724229,5.262,5.950,2.170,1.71
1770560299.9843497,57.83446850,12.30724817,57.83446759,12.30724523,5.262,5.958,2.170,1.33
1770560300.979617,57.83447083,12.30725583,57.83446921,12.30725053,5.262,5.967,2.170,1.48
1770560301.9833393,57.83446733,12.30726200,57.83446827,12.30725627,5.262,5.975,2.170,1.42
1770560302.9791937,57.83446983,12.30726200,57.83446905,12.30725913,3.952,5.983,1.620,1.52
1770560303.9837148,57.83447467,12.30726717,57.83447186,12.30726315,3.952,5.992,1.620,1.86
