timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view
1770561162.977555,57.83443550,12.30732800,57.83443095,12.30732878,2.219,2.500,1.030,1.68,7,7
1770561163.9723043,57.83443367,12.30731850,57.83443231,12.30732364,2.219,2.500,1.030,1.37,7,7
1770561164.9719815,57.83442350,12.30730333,57.83442790,12.30731349,2.219,2.500,1.030,1.76,7,7
1770561165.984361,57.83442250,12.30729500,57.83442520,12.30730424,2.219,2.500,1.030,1.81,7,7
1770561166.976912,57.83441533,12.30728450,57.83442027,12.30729437,2.219,2.500,1.030,1.92,7,7
1770561167.9710543,57.83440833,12.30727200,57.83441430,12.30728319,2.219,2.500,1.030,2.19,7,7
1770561168.9858959,57.83439817,12.30727033,57.83440623,12.30727676,2.219,2.500,1.030,2.05,7,7
1770561169.9796426,57.83438800,12.30726700,57.83439712,12.30727188,2.219,2.500,1.030,2.31,7,7
1770561170.9722672,57.83438300,12.30727050,57.83439006,12.30727119,2.219,2.500,1.030,1.89,7,7
1770561171.9800427,57.83438200,12.30727383,57.83438603,12.30727251,2.190,2.500,1.000,0.99,8,8
1770561172.9851048,57.83438000,12.30727150,57.83438301,12.30727201,2.190,2.500,1.000,0.77,8,8
1770561173.9831247,57.83437850,12.30726567,57.83438076,12.30726884,2.190,2.500,1.000,0.93,8,8
1770561174.9836526,57.83438167,12.30727550,57.83438121,12.30727217,2.190,2.500,1.000,0.22,8,8
1770561175.9850833,57.83438867,12.30728683,57.83438494,12.30727950,2.190,2.500,1.000,1.35,8,8
1770561176.9815872,57.83439300,12.30729867,57.83438897,12.30728908,2.190,2.500,1.000,1.99,9,9
1770561177.970902,57.83439467,12.30730467,57.83439182,12.30729688,2.190,2.500,1.000,1.74,8,8
1770561178.9868124,57.83439667,12.30730950,57.83439424,12.30730319,2.219,2.500,1.030,1.69,7,7
1770561179.9721282,57.83439350,12.30732067,57.83439387,12.30731193,2.219,2.500,1.030,1.66,7,7
1770561180.9829464,57.83439233,12.30732967,57.83439310,12.30732080,2.219,2.500,1.030,1.67,7,7
1770561181.97555,57.83438683,12.30733800,57.83438997,12.30732940,2.381,2.500,1.200,1.55,6,6
1770561182.9789734,57.83438900,12.30733183,57.83438948,12.30733062,2.219,2.500,1.030,0.69,7,7
1770561183.9732938,57.83437850,12.30732950,57.83438399,12.30733006,2.381,2.500,1.200,0.77,6,6
1770561184.9802117,57.83438000,12.30732567,57.83438200,12.30732786,2.381,2.500,1.200,0.32,6,6
1770561185.9737334,57.83437683,12.30733550,57.83437941,12.30733168,2.381,2.500,1.200,0.62,6,6
1770561186.9717183,57.83436667,12.30732683,57.83437304,12.30732926,2.381,2.500,1.200,1.15,6,6
1770561187.9711127,57.83436967,12.30732117,57.83437135,12.30732521,2.381,2.500,1.200,0.78,6,6
1770561188.9709713,57.83436983,12.30731517,57.83437059,12.30732019,2.381,2.500,1.200,1.06,6,6
1770561189.9701416,57.83437183,12.30731050,57.83437121,12.30731534,2.381,2.500,1.200,1.13,6,6
1770561190.9776323,57.83437300,12.30730900,57.83437211,12.30731217,2.381,2.500,1.200,1.02,6,6
1770561191.9714313,57.83437917,12.30733817,57.83437564,12.30732517,2.381,2.500,1.200,1.64,6,6
1770561192.971113,57.83437967,12.30734367,57.83437765,12.30733442,2.381,2.500,1.200,1.35,6,6
1770561193.970813,57.83438200,12.30735700,57.83437983,12.30734571,2.381,2.500,1.200,1.74,6,6
1770561194.9715757,57.83438983,12.30736050,57.83438483,12.30735310,2.381,2.500,1.200,1.57,6,6
1770561195.9715748,57.83439550,12.30737250,57.83439016,12.30736280,2.381,2.500,1.200,1.93,6,6
1770561196.9711716,57.83440233,12.30737683,57.83439625,12.30736982,2.381,2.500,1.200,1.89,6,6
1770561197.9761412,57.83441183,12.30738850,57.83440404,12.30737916,2.381,2.500,1.200,2.86,6,6
1770561198.9711607,57.83442050,12.30740717,57.83441227,12.30739316,3.105,2.500,1.960,3.85,5,5
1770561199.9711587,57.83441900,12.30741317,57.83441564,12.30740316,3.105,2.500,1.960,3.04,5,5
1770561200.9735885,57.83442633,12.30740667,57.83442098,12.30740492,3.105,2.500,1.960,2.51,5,5
1770561201.9750235,57.83443567,12.30741367,57.83442833,12.30740929,3.105,2.500,1.960,2.96,5,5
1770561202.969764,57.83444150,12.30741083,57.83443491,12.30741006,3.105,2.500,1.960,2.67,5,5
1770561203.97589,57.83444783,12.30740783,57.83444137,12.30740895,3.105,2.500,1.960,2.98,5,5
1770561204.971149,57.83444883,12.30740317,57.83444510,12.30740606,3.105,2.500,1.960,2.61,5,5
1770561205.969944,57.83445050,12.30741383,57.83444780,12.30740995,3.105,2.500,1.960,2.09,5,5
1770561206.9706814,57.83445233,12.30742533,57.83445007,12.30741764,6.000,2.500,5.380,2.22,4,4
1770561207.9702554,57.83445417,12.30742767,57.83445212,12.30742265,6.000,2.500,5.380,2.04,4,4
1770561208.974342,57.83445583,12.30743133,57.83445398,12.30742699,6.000,2.500,5.390,1.83,4,4
1770561209.9689329,57.83445567,12.30744100,57.83445482,12.30743400,6.000,2.500,5.390,1.69,4,4
1770561210.9728897,57.83446200,12.30745000,57.83445841,12.30744200,6.000,2.500,5.400,2.02,4,4
1770561211.9663596,57.83446050,12.30744367,57.83445946,12.30744283,6.000,2.500,5.410,1.73,4,4
1770561212.969802,57.83447100,12.30744733,57.83446523,12.30744508,6.000,2.500,5.410,2.01,4,4
1770561213.970882,57.83447400,12.30745400,57.83446961,12.30744954,6.000,2.500,5.420,1.75,4,4
1770561214.9702523,57.83447517,12.30744783,57.83447239,12.30744869,6.000,2.500,5.420,1.55,4,4
1770561215.9537668,57.83447367,12.30744950,57.83447303,12.30744909,6.000,2.500,5.430,1.54,4,4
1770561216.969579,57.83446783,12.30743800,57.83447043,12.30744355,6.000,2.500,5.430,0.85,4,4
1770561217.9728384,57.83446717,12.30742400,57.83446880,12.30743377,6.000,2.500,5.440,0.84,4,4
1770561218.9664862,57.83445900,12.30740567,57.83446390,12.30741972,6.000,2.500,5.450,0.53,4,4
1770561219.9683611,57.83446500,12.30735800,57.83446445,12.30738886,6.000,2.500,5.450,2.12,4,4
1770561220.9747827,57.83446583,12.30735383,57.83446514,12.30737135,4.295,2.500,3.210,1.71,5,5
1770561221.972336,57.83446117,12.30736500,57.83446315,12.30736817,6.000,2.500,5.460,0.83,4,4
1770561222.9747472,57.83445967,12.30735300,57.83446141,12.30736059,6.000,2.500,5.470,1.13,4,4
1770561223.9687703,57.83445267,12.30733650,57.83445704,12.30734854,6.000,2.500,5.470,1.56,4,4
1770561224.9732015,57.83443600,12.30731967,57.83444652,12.30733411,6.000,2.500,5.480,1.79,4,4
