timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,altitude_m,alt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,fix_quality,fix_meaning,direction
1770571097.8956685,57.83450950,12.30721717,57.83450725,12.30721550,2.743,3.751,71.10,5.93,1.580,2.06,5,5,1,GPS Fix (SPS),Stopped
1770571098.8860538,57.83450600,12.30723700,57.83450663,12.30722625,2.743,3.149,71.30,5.93,1.580,1.70,5,5,1,GPS Fix (SPS),Forward
1770571099.890774,57.83450517,12.30724500,57.83450590,12.30723563,2.743,2.648,71.60,5.93,1.580,1.41,5,5,1,GPS Fix (SPS),Forward
1770571100.892477,57.83450250,12.30724883,57.83450420,12.30724223,2.743,2.500,71.80,5.93,1.580,0.93,5,5,1,GPS Fix (SPS),Forward
1770571101.890927,57.83450300,12.30724767,57.83450360,12.30724495,2.743,2.500,72.10,5.93,1.580,0.77,5,5,1,GPS Fix (SPS),Stopped
1770571102.9035878,57.83449850,12.30725583,57.83450105,12.30725039,3.610,2.500,72.00,9.34,2.490,0.55,5,5,1,GPS Fix (SPS),Forward
1770571103.8935542,57.83449383,12.30725167,57.83449744,12.30725103,3.610,2.500,72.00,9.34,2.490,0.50,5,5,1,GPS Fix (SPS),Stopped
1770571104.9020057,57.83449100,12.30724850,57.83449422,12.30724976,3.610,2.500,72.00,9.34,2.490,0.74,5,5,1,GPS Fix (SPS),Stopped
1770571105.904409,57.83448717,12.30724467,57.83449069,12.30724722,3.610,2.500,72.10,9.34,2.490,1.06,5,5,1,GPS Fix (SPS),Stopped
1770571106.9034512,57.83448267,12.30726317,57.83448668,12.30725519,3.610,2.500,72.40,9.34,2.490,0.67,5,5,1,GPS Fix (SPS),Forward
1770571107.9054043,57.83446400,12.30726717,57.83447534,12.30726118,3.600,2.500,72.50,9.30,2.480,0.77,5,5,1,GPS Fix (SPS),Forward
1770571108.9087305,57.83445000,12.30727767,57.83446267,12.30726942,2.667,2.500,72.30,5.62,1.500,1.19,6,6,1,GPS Fix (SPS),Forward
1770571109.8991547,57.83442467,12.30729433,57.83444367,12.30728188,2.667,2.500,72.20,5.62,1.500,2.59,6,6,1,GPS Fix (SPS),Forward
1770571110.894299,57.83442333,12.30728767,57.83443350,12.30728477,2.343,2.500,72.10,4.35,1.160,2.16,7,7,1,GPS Fix (SPS),Stopped
1770571111.9013393,57.83441550,12.30727867,57.83442450,12.30728172,2.286,2.500,71.40,4.12,1.100,2.45,8,8,1,GPS Fix (SPS),Stopped
1770571112.9063385,57.83441033,12.30727033,57.83441742,12.30727603,2.286,2.500,70.80,4.12,1.100,2.46,8,8,1,GPS Fix (SPS),Reverse
1770571113.9033751,57.83440167,12.30726950,57.83440954,12.30727276,2.286,2.500,70.00,4.12,1.100,2.44,8,8,1,GPS Fix (SPS),Stopped
1770571114.8902807,57.83438567,12.30727517,57.83439760,12.30727396,2.286,2.500,69.70,4.12,1.100,3.25,8,8,1,GPS Fix (SPS),Stopped
1770571115.9067857,57.83438950,12.30726283,57.83439355,12.30726840,2.286,2.500,69.20,4.12,1.100,2.20,8,8,1,GPS Fix (SPS),Reverse
1770571116.9026778,57.83439183,12.30726233,57.83439269,12.30726537,2.286,2.500,68.80,4.12,1.100,1.27,8,8,1,GPS Fix (SPS),Stopped
1770571117.898579,57.83439883,12.30726083,57.83439576,12.30726310,2.286,2.500,68.40,4.12,1.100,0.50,8,8,1,GPS Fix (SPS),Stopped
1770571118.9047256,57.83439967,12.30726433,57.83439771,12.30726372,2.286,2.500,67.90,4.12,1.100,0.74,8,8,1,GPS Fix (SPS),Stopped
1770571119.8998666,57.83440517,12.30726833,57.83440144,12.30726602,2.286,2.500,67.40,4.12,1.100,1.09,8,8,1,GPS Fix (SPS),Stopped
1770571120.902229,57.83440967,12.30727267,57.83440555,12.30726935,2.305,2.500,67.30,4.20,1.120,1.32,7,7,1,GPS Fix (SPS),Stopped
1770571121.9041188,57.83441417,12.30727917,57.83440986,12.30727426,2.638,2.500,67.10,5.51,1.470,1.73,6,6,1,GPS Fix (SPS),Forward
1770571122.9012868,57.83441583,12.30727083,57.83441285,12.30727254,2.638,2.500,66.90,5.51,1.470,0.48,6,6,1,GPS Fix (SPS),Stopped
1770571123.8997154,57.83442117,12.30727750,57.83441701,12.30727502,2.305,2.500,66.60,4.20,1.120,1.19,7,7,1,GPS Fix (SPS),Stopped
1770571124.9023046,57.83442800,12.30726800,57.83442250,12.30727151,2.305,2.500,66.50,4.20,1.120,1.05,7,7,1,GPS Fix (SPS),Reverse
1770571125.8909917,57.83443733,12.30726700,57.83442992,12.30726926,2.305,2.500,66.10,4.20,1.120,1.62,7,7,1,GPS Fix (SPS),Stopped
1770571126.9059289,57.83445150,12.30726433,57.83444071,12.30726679,2.305,2.500,65.90,4.20,1.120,2.59,7,7,1,GPS Fix (SPS),Stopped
1770571127.8992448,57.83445767,12.30725367,57.83444919,12.30726023,2.305,2.500,65.40,4.20,1.120,2.49,7,7,1,GPS Fix (SPS),Reverse
1770571128.8992758,57.83446333,12.30724867,57.83445626,12.30725445,2.305,2.500,65.00,4.20,1.120,2.38,7,7,1,GPS Fix (SPS),Reverse
1770571129.9030178,57.83447050,12.30724317,57.83446338,12.30724881,2.305,2.500,65.20,4.20,1.120,2.56,7,7,1,GPS Fix (SPS),Reverse
1770571130.8991342,57.83447733,12.30724717,57.83447036,12.30724799,2.305,2.500,65.20,4.20,1.120,2.51,7,7,1,GPS Fix (SPS),Stopped
1770571131.8945112,57.83448300,12.30724933,57.83447668,12.30724866,2.638,2.500,65.60,5.51,1.470,2.39,6,6,1,GPS Fix (SPS),Stopped
1770571132.9004855,57.83448817,12.30725517,57.83448242,12.30725191,2.638,2.500,65.80,5.51,1.470,2.24,7,7,1,GPS Fix (SPS),Stopped
1770571133.8963397,57.83449733,12.30725550,57.83448988,12.30725371,2.638,2.500,66.00,5.51,1.470,2.47,7,7,1,GPS Fix (SPS),Stopped
1770571134.893117,57.83450567,12.30725617,57.83449777,12.30725494,2.638,2.500,66.10,5.51,1.470,2.50,7,7,1,GPS Fix (SPS),Stopped
1770571135.8895528,57.83451233,12.30725583,57.83450505,12.30725539,2.638,2.500,66.30,5.51,1.470,2.37,6,6,1,GPS Fix (SPS),Stopped
1770571136.8910239,57.83452283,12.30725517,57.83451394,12.30725528,2.638,2.500,66.70,5.51,1.470,2.69,6,6,1,GPS Fix (SPS),Stopped
1770571137.890847,57.83452183,12.30725100,57.83451789,12.30725314,2.638,2.500,66.90,5.51,1.470,2.06,6,6,1,GPS Fix (SPS),Stopped
1770571138.891846,57.83451883,12.30724933,57.83451836,12.30725124,2.638,2.500,67.00,5.51,1.470,1.48,6,6,1,GPS Fix (SPS),Stopped
1770571139.8919003,57.83451667,12.30725483,57.83451751,12.30725303,2.638,2.500,67.00,5.51,1.470,1.02,6,6,1,GPS Fix (SPS),Stopped
1770571140.8982878,57.83450800,12.30726167,57.83451276,12.30725735,2.638,2.500,67.20,5.51,1.470,0.34,6,6,1,GPS Fix (SPS),Forward
1770571141.8903754,57.83449483,12.30726933,57.83450380,12.30726334,2.638,2.500,67.40,5.51,1.470,0.86,6,6,1,GPS Fix (SPS),Forward
1770571142.8913233,57.83448300,12.30727467,57.83449340,12.30726900,2.638,2.500,67.80,5.51,1.470,1.41,6,6,1,GPS Fix (SPS),Forward
